text,hs_code,hs_chapter,hs_chapter_name,hs_desc,language
"Mountings, fittings and similar articles; of base metal, suitable for buildings",830241,HS 83,HS 83,"Mountings, fittings and similar articles; of base metal, suitable for buildings",en
"Molluscs; octopus (Octopus spp.), frozen",030752,HS 03,HS 03,"Molluscs; octopus (Octopus spp.), frozen",en
"Machine-tools; for deburring, grinding, polishing or otherwise finishing metal, sintered metal carbides or cermets by means of grinding stones, abrasives or polishing products, n.e.c. in heading no. 8460",846090,HS 84,HS 84,"Machine-tools; for deburring, grinding, polishing or otherwise finishing metal, sintered metal carbides or cermets by means of grinding stones, abrasives or polishing products, n.e.c. in heading no. 8460",en
"Cotton yarn; (not sewing thread), single, of combed fibres, less than 85% by weight of cotton, less than 232.56 but not less than 192.31 decitex (exceeding 43 but not exceeding 52 metric number), not for retail sale",520623,HS 52,HS 52,"Cotton yarn; (not sewing thread), single, of combed fibres, less than 85% by weight of cotton, less than 232.56 but not less than 192.31 decitex (exceeding 43 but not exceeding 52 metric number), not for retail sale",en
"Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus; incorporating a colour video display or screen, for regional retail supply chain, for 20ft container loading.",852872,HS 85,Electronics,Other colour TV receivers,en
"Clocks; (excluding those with watch movements and instrument panel clocks), other than alarm or wall clocks, other than electrically operated",910599,HS 91,HS 91,"Clocks; (excluding those with watch movements and instrument panel clocks), other than alarm or wall clocks, other than electrically operated",en
"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils, containing indentations, ribs, grooves or other deformations produced during the rolling process, for export under standard commercial terms, for scheduled maritime transport.",721310,HS 72,HS 72,"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils, containing indentations, ribs, grooves or other deformations produced during the rolling process",en
"Sedan car, petrol engine, 2000cc, for regional retail supply chain, with standard commercial invoice and packing list.",870323,HS 87,Vehicles,"Motor cars, 1500-3000cc",en
Lawn-tennis balls,950661,HS 95,HS 95,Lawn-tennis balls,en
"Yarn; (not sewing thread), multiple (folded) or cabled, of synthetic staple fibres, containing 85% or more by weight of acrylic or modacrylic, not put up for retail sale",550932,HS 55,HS 55,"Yarn; (not sewing thread), multiple (folded) or cabled, of synthetic staple fibres, containing 85% or more by weight of acrylic or modacrylic, not put up for retail sale",en
"Pharmaceutical goods; dental cements and other dental fillings, bone reconstruction cements",300640,HS 30,HS 30,"Pharmaceutical goods; dental cements and other dental fillings, bone reconstruction cements",en
"Amino-acids, other than those containing more than one kind of oxygen function, and their esters; anthranilic acid and its esters; salts thereof",292243,HS 29,HS 29,"Amino-acids, other than those containing more than one kind of oxygen function, and their esters; anthranilic acid and its esters; salts thereof",en
"Fish meat, excluding fillets, whether or not minced; fresh or chilled, tilapias, catfish, carp, eels, Nile perch, and snakeheads",030451,HS 03,HS 03,"Fish meat, excluding fillets, whether or not minced; fresh or chilled, tilapias, catfish, carp, eels, Nile perch, and snakeheads",en
"Fabrics, woven; of combed wool or combed fine animal hair, containing 85% or more by weight of wool or fine animal hair, of a weight not exceeding 200g/m2, for export under standard commercial terms, with standard commercial invoice and packing list.",511211,HS 51,HS 51,"Fabrics, woven; of combed wool or combed fine animal hair, containing 85% or more by weight of wool or fine animal hair, of a weight not exceeding 200g/m2",en
Wine in containers ≤2L for industrial/commercial use,220421,HS 22,Beverages,Wine in containers ≤2L,en
"Iron or non-alloy steel; flat-rolled, hot-rolled, of a width 600mm or more, n.e.c. in heading no. 7208",720890,HS 72,HS 72,"Iron or non-alloy steel; flat-rolled, hot-rolled, of a width 600mm or more, n.e.c. in heading no. 7208",en
"Boilers; super-heated water boilers, for industrial procurement contract, packed in cartons.",840220,HS 84,HS 84,Boilers; super-heated water boilers,en
"Wood; coniferous, sheets for veneering (including those obtained by slicing laminated wood), for plywood or similar laminated wood and other wood, sawn lengthwise, sliced or peeled, planed or not, sanded, spliced or end-jointed, not over 6 mm thick",440810,HS 44,HS 44,"Wood; coniferous, sheets for veneering (including those obtained by slicing laminated wood), for plywood or similar laminated wood and other wood, sawn lengthwise, sliced or peeled, planed or not, sanded, spliced or end-jointed, not over 6 mm thick",en
"Tulles and other net fabrics; excluding woven, knitted or crocheted fabrics, (other than fabrics of headings 60.02 to 60.06)",580410,HS 58,HS 58,"Tulles and other net fabrics; excluding woven, knitted or crocheted fabrics, (other than fabrics of headings 60.02 to 60.06)",en
"Steroidal hormones, their derivatives and structural analogues; oestrogens and progestogens, for bulk procurement program, shipping term CIF.",293723,HS 29,HS 29,"Steroidal hormones, their derivatives and structural analogues; oestrogens and progestogens",en
"Amine-function compounds; acyclic monoamines and their derivatives, and salts thereof, n.e.c. in item no. 2921.1, for regional retail supply chain, for mixed-lot cargo.",292119,HS 29,HS 29,"Amine-function compounds; acyclic monoamines and their derivatives, and salts thereof, n.e.c. in item no. 2921.1",en
"Copper; refined, unwrought, billets, for bulk procurement program, with standard commercial invoice and packing list.",740313,HS 74,HS 74,"Copper; refined, unwrought, billets",en
"Amine-function compounds; aromatic monoamines and their derivatives, toluidines and their derivatives; salts thereof",292143,HS 29,HS 29,"Amine-function compounds; aromatic monoamines and their derivatives, toluidines and their derivatives; salts thereof",en
"Jackets; women's or girls', of wool or fine animal hair, knitted or crocheted, for international wholesale distribution, for 20ft container loading.",610431,HS 61,HS 61,"Jackets; women's or girls', of wool or fine animal hair, knitted or crocheted",en
"Glass envelopes (including bulbs and tubes); open, and glass parts thereof, without fittings, other than for electric lighting and cathode-ray tubes, for regional retail supply chain, shipping term FOB.",701190,HS 70,HS 70,"Glass envelopes (including bulbs and tubes); open, and glass parts thereof, without fittings, other than for electric lighting and cathode-ray tubes",en
"Vehicles; break-down lorries, road-sweepers, spraying lorries, mobile workshops, mobile radiological units, and other special purpose vehicles n.e.c. in heading no. 8705, for industrial procurement contract, for mixed-lot cargo.",870590,HS 87,HS 87,"Vehicles; break-down lorries, road-sweepers, spraying lorries, mobile workshops, mobile radiological units, and other special purpose vehicles n.e.c. in heading no. 8705",en
"Machines; automatic beverage-vending machines, not incorporating heating or refrigerating devices",847629,HS 84,HS 84,"Machines; automatic beverage-vending machines, not incorporating heating or refrigerating devices",en
"Fibres; synthetic filament tow, of polypropylene, for export under standard commercial terms, with standard commercial invoice and packing list.",550140,HS 55,HS 55,"Fibres; synthetic filament tow, of polypropylene",en
"Chlorides; of calcium, for industrial procurement contract, palletized for container shipment.",282720,HS 28,HS 28,Chlorides; of calcium,en
"Collections and collectors' pieces; of zoological, botanical, mineralogical, anatomical or palaeontological interest, extinct or endangered species and parts thereof",970522,HS 97,HS 97,"Collections and collectors' pieces; of zoological, botanical, mineralogical, anatomical or palaeontological interest, extinct or endangered species and parts thereof",en
"Wool grease and fatty substances derived therefrom (including lanolin), for regional retail supply chain, palletized for container shipment.",150500,HS 15,HS 15,Wool grease and fatty substances derived therefrom (including lanolin),en
"Vehicles; break-down lorries, road-sweepers, spraying lorries, mobile workshops, mobile radiological units, and other special purpose vehicles n.e.c. in heading no. 8705",870590,HS 87,HS 87,"Vehicles; break-down lorries, road-sweepers, spraying lorries, mobile workshops, mobile radiological units, and other special purpose vehicles n.e.c. in heading no. 8705",en
"Trade declaration: other electronic integrated circuits, new",854239,HS 85,Electronics,Other electronic integrated circuits,en
"Export grade chemical wood pulp, bleached, certified",470321,HS 47,Paper,"Chemical wood pulp, bleached",en
"Smartphone, Android, 6.7 inch display, for customs clearance and import declaration, with standard commercial invoice and packing list.",851712,HS 85,Electronics,Smartphones,en
"Seats; of a kind used for motor vehicles, for bonded warehouse delivery, palletized for container shipment.",940120,HS 94,HS 94,Seats; of a kind used for motor vehicles,en
"Vegetables; potatoes (other than seed), fresh or chilled, for customs clearance and import declaration, palletized for container shipment.",070190,HS 07,HS 07,"Vegetables; potatoes (other than seed), fresh or chilled",en
"Coffee; roasted, decaffeinated, for customs clearance and import declaration, shipping term FOB.",090122,HS 09,HS 09,"Coffee; roasted, decaffeinated",en
"American upland cotton, uncarded, for international wholesale distribution, palletized for container shipment.",520100,HS 52,Textiles,"Cotton, not carded or combed",en
"Vegetable oils; microbial fats and oils and their fractions, whether or not refined, but not chemically modified, for regional retail supply chain, palletized for container shipment.",151560,HS 15,HS 15,"Vegetable oils; microbial fats and oils and their fractions, whether or not refined, but not chemically modified",en
Odoriferous substances and mixtures; used as raw materials in industries other than the food or drink industries,330290,HS 33,HS 33,Odoriferous substances and mixtures; used as raw materials in industries other than the food or drink industries,en
"Photographic (other than cinematographic) image projectors, enlargers, and reducers; parts and accessories, for bonded warehouse delivery, for 20ft container loading.",900890,HS 90,HS 90,"Photographic (other than cinematographic) image projectors, enlargers, and reducers; parts and accessories",en
"Anti-oxidising preparations and other compound stabilisers; for rubber or plastics, mixtures of oligomers of 2,2,4-trimethyl-1,2-dihydroquinoline (TMQ)",381231,HS 38,HS 38,"Anti-oxidising preparations and other compound stabilisers; for rubber or plastics, mixtures of oligomers of 2,2,4-trimethyl-1,2-dihydroquinoline (TMQ)",en
"Acyclic amides (including acyclic carbamates) and their derivatives; salts thereof; meprobamate (INN), for customs clearance and import declaration, for 20ft container loading.",292411,HS 29,HS 29,Acyclic amides (including acyclic carbamates) and their derivatives; salts thereof; meprobamate (INN),en
"Skirts and divided skirts; women's or girls', of wool or fine animal hair (not knitted or crocheted), for regional retail supply chain, shipping term CIF.",620451,HS 62,HS 62,"Skirts and divided skirts; women's or girls', of wool or fine animal hair (not knitted or crocheted)",en
"Iron; grinding balls and similar articles for mills, other than of non-malleable cast iron",732591,HS 73,HS 73,"Iron; grinding balls and similar articles for mills, other than of non-malleable cast iron",en
"Export grade unwrought aluminium alloys, certified, for bonded warehouse delivery, packed in cartons.",760120,HS 76,Metals,Unwrought aluminium alloys,en
"Animal products; of fish or crustaceans, molluscs or other aquatic invertebrates; dead animals of chapter 03, unfit for human consumption, for industrial procurement contract, with standard commercial invoice and packing list.",051191,HS 05,HS 05,"Animal products; of fish or crustaceans, molluscs or other aquatic invertebrates; dead animals of chapter 03, unfit for human consumption",en
"Monophenols; cresols and their salts, for bonded warehouse delivery, for 20ft container loading.",290712,HS 29,HS 29,Monophenols; cresols and their salts,en
"Fertilizers, mineral or chemical; diammonium hydrogenorthophosphate (diammonium phosphate), for industrial procurement contract, with standard commercial invoice and packing list.",310530,HS 31,HS 31,"Fertilizers, mineral or chemical; diammonium hydrogenorthophosphate (diammonium phosphate)",en
"Derivatives of hydrocarbons; lithium perfluorooctane sulphonate, whether or not halogenated",290433,HS 29,HS 29,"Derivatives of hydrocarbons; lithium perfluorooctane sulphonate, whether or not halogenated",en
"Thin and light laptop, OLED display",847130,HS 84,Electronics,Portable digital computers <10kg,en
"Hair; fine animal hair, carded or combed, of kashmir (cashmere) goats",510531,HS 51,HS 51,"Hair; fine animal hair, carded or combed, of kashmir (cashmere) goats",en
"Fruit, edible; durians, fresh",081060,HS 08,HS 08,"Fruit, edible; durians, fresh",en
"Electric motors; AC motors, multi-phase, of an output exceeding 75kW, for international wholesale distribution, for 20ft container loading.",850153,HS 85,HS 85,"Electric motors; AC motors, multi-phase, of an output exceeding 75kW",en
"Export grade household refrigerators, compression, certified, for export under standard commercial terms, shipping term CIF.",841821,HS 84,Machinery,"Household refrigerators, compression",en
"Magnesium; raspings, turnings and granules, graded according to size, powders, for industrial procurement contract, for 20ft container loading.",810430,HS 81,HS 81,"Magnesium; raspings, turnings and granules, graded according to size, powders",en
"Textile products and articles for technical uses; straining cloth of a kind used in oil presses and the like, including that of human hair, for cross-border shipment, for mixed-lot cargo.",591140,HS 59,HS 59,"Textile products and articles for technical uses; straining cloth of a kind used in oil presses and the like, including that of human hair",en
"Machines; parts of those for cleaning, sorting or grading seed, grain or dried leguminous vegetables or for milling or working cereals or dried leguminous vegetables (not farm-type machinery), for customs clearance and import declaration, palletized for container shipment.",843790,HS 84,HS 84,"Machines; parts of those for cleaning, sorting or grading seed, grain or dried leguminous vegetables or for milling or working cereals or dried leguminous vegetables (not farm-type machinery)",en
"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",030366,HS 03,HS 03,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",en
"Firearms; parts and accessories, of shotguns or rifles of heading 9303",930520,HS 93,HS 93,"Firearms; parts and accessories, of shotguns or rifles of heading 9303",en
"Food preparations; pasta, uncooked (excluding that containing eggs), not stuffed or otherwise prepared, for industrial procurement contract, for 20ft container loading.",190219,HS 19,HS 19,"Food preparations; pasta, uncooked (excluding that containing eggs), not stuffed or otherwise prepared",en
"Other structures of iron or steel - standard quality, bulk shipment",730890,HS 73,Steel,Other structures of iron or steel,en
"Trousers, bib and brace overalls, breeches and shorts; women's or girls', of textile materials (other than wool or fine animal hair, cotton or synthetic fibres), knitted or crocheted, for international wholesale distribution, shipping term CIF.",610469,HS 61,HS 61,"Trousers, bib and brace overalls, breeches and shorts; women's or girls', of textile materials (other than wool or fine animal hair, cotton or synthetic fibres), knitted or crocheted",en
"Curtains (including drapes) and interior blinds, curtain or bed valances; of synthetic fibres, not knitted or crocheted",630392,HS 63,HS 63,"Curtains (including drapes) and interior blinds, curtain or bed valances; of synthetic fibres, not knitted or crocheted",en
"Yarn; (not sewing thread), of synthetic staple fibres, mixed mainly or solely with cotton, n.e.c. in heading no. 5509, not put up for retail sale",550992,HS 55,HS 55,"Yarn; (not sewing thread), of synthetic staple fibres, mixed mainly or solely with cotton, n.e.c. in heading no. 5509, not put up for retail sale",en
"Imported processing units for digital machines, customs declaration, for regional retail supply chain, for mixed-lot cargo.",847150,HS 84,Electronics,Processing units for digital machines,en
"Wood; in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, n.e.c. in heading no. 4403",440399,HS 44,HS 44,"Wood; in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, n.e.c. in heading no. 4403",en
Machinery and mechanical appliances; presses for the manufacture of particle or fibre building board of wood or other ligneous materials and other machinery for treating wood or cork,847930,HS 84,HS 84,Machinery and mechanical appliances; presses for the manufacture of particle or fibre building board of wood or other ligneous materials and other machinery for treating wood or cork,en
"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils, n.e.c. in heading no. 7213, of circular cross-section measuring 14mm or more in diameter",721399,HS 72,HS 72,"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils, n.e.c. in heading no. 7213, of circular cross-section measuring 14mm or more in diameter",en
"Glass; ampoules, of a kind used for the conveyance or packing of goods",701010,HS 70,HS 70,"Glass; ampoules, of a kind used for the conveyance or packing of goods",en
"Balers; straw or fodder balers, including pick-up balers",843340,HS 84,HS 84,"Balers; straw or fodder balers, including pick-up balers",en
"Polyesters; n.e.c. in heading no. 3907, saturated, in primary forms",390799,HS 39,HS 39,"Polyesters; n.e.c. in heading no. 3907, saturated, in primary forms",en
"Toxins, cultures of micro-organisms (excluding yeasts) and similar products, for bonded warehouse delivery, for mixed-lot cargo.",300290,HS 30,HS 30,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products",en
"Photographic paper, paperboard and textiles; in rolls, sensitised, unexposed, of a width exceeding 610mm",370310,HS 37,HS 37,"Photographic paper, paperboard and textiles; in rolls, sensitised, unexposed, of a width exceeding 610mm",en
"Sodium sulphates; other than disodium sulphate, for bonded warehouse delivery, with standard commercial invoice and packing list.",283319,HS 28,HS 28,Sodium sulphates; other than disodium sulphate,en
"Mechanical appliances; agricultural or horticultural sprayers; portable sprayers, for international wholesale distribution, shipping term FOB.",842441,HS 84,HS 84,Mechanical appliances; agricultural or horticultural sprayers; portable sprayers,en
"Acetals and hemiacetals; whether or not with other oxygen function, and their halogenated, sulphonated, nitrated or nitrosated derivatives, for export under standard commercial terms, with standard commercial invoice and packing list.",291100,HS 29,HS 29,"Acetals and hemiacetals; whether or not with other oxygen function, and their halogenated, sulphonated, nitrated or nitrosated derivatives",en
"Kraft paper and paperboard; uniformly bleached throughout, coated with inorganic substances, more than 95% of chemically processed wood fibres, weight more than 150g/m2, for non-graphic purposes, in rolls or sheets",481032,HS 48,HS 48,"Kraft paper and paperboard; uniformly bleached throughout, coated with inorganic substances, more than 95% of chemically processed wood fibres, weight more than 150g/m2, for non-graphic purposes, in rolls or sheets",en
"Slate; whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",251400,HS 25,HS 25,"Slate; whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",en
Textile machinery; drawing or roving machines for preparing textile fibres,844513,HS 84,HS 84,Textile machinery; drawing or roving machines for preparing textile fibres,en
Turbo-jets; of a thrust exceeding 25kN,841112,HS 84,HS 84,Turbo-jets; of a thrust exceeding 25kN,en
"Shipment of other cheese, FOB terms, for industrial procurement contract, packed in cartons.",040690,HS 04,Dairy,Other cheese,en
Ferrous waste and scrap; of stainless steel,720421,HS 72,HS 72,Ferrous waste and scrap; of stainless steel,en
"Fabrics, woven; of cotton, unbleached, weighing not more than 200g/m2, n.e.c. in chapter 52, for industrial procurement contract, palletized for container shipment.",521211,HS 52,HS 52,"Fabrics, woven; of cotton, unbleached, weighing not more than 200g/m2, n.e.c. in chapter 52",en
"Fabrics, woven; dyed, containing 85% or more by weight of artificial staple fibres, for international wholesale distribution, for 20ft container loading.",551612,HS 55,HS 55,"Fabrics, woven; dyed, containing 85% or more by weight of artificial staple fibres",en
"Vehicles; dumpers, designed for off-highway use, for transport of goods",870410,HS 87,HS 87,"Vehicles; dumpers, designed for off-highway use, for transport of goods",en
"Carpets and other textile floor coverings; woven, (not tufted or flocked), of textile materials (other than man-made, wool or fine animal hair), of pile construction, made up, n.e.c. in item no. 5702.10 or 5702.20",570249,HS 57,HS 57,"Carpets and other textile floor coverings; woven, (not tufted or flocked), of textile materials (other than man-made, wool or fine animal hair), of pile construction, made up, n.e.c. in item no. 5702.10 or 5702.20",en
"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",020713,HS 02,HS 02,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",en
"Gasket sets or assortments of gaskets and similar joints; dissimilar in composition, put up in pouches, envelopes or similar packings, for industrial procurement contract, for mixed-lot cargo.",848490,HS 84,HS 84,"Gasket sets or assortments of gaskets and similar joints; dissimilar in composition, put up in pouches, envelopes or similar packings",en
"Clocks; instrument panel clocks and clocks of a similar type for vehicles, aircraft, spacecraft or vessels",910400,HS 91,HS 91,"Clocks; instrument panel clocks and clocks of a similar type for vehicles, aircraft, spacecraft or vessels",en
"Oils, essential; of citrus fruits n.e.c. in heading no. 3301 (terpeneless or not), including concretes and absolutes, for export under standard commercial terms, shipping term FOB.",330119,HS 33,HS 33,"Oils, essential; of citrus fruits n.e.c. in heading no. 3301 (terpeneless or not), including concretes and absolutes",en
"Fish fillets; frozen, coalfish (Pollachius virens), for export under standard commercial terms, for 20ft container loading.",030473,HS 03,HS 03,"Fish fillets; frozen, coalfish (Pollachius virens)",en
"Amino-acids, other than those containing more than one kind of oxygen function, and their esters; glutamic acid and its esters; salts thereof, for international wholesale distribution, for mixed-lot cargo.",292242,HS 29,HS 29,"Amino-acids, other than those containing more than one kind of oxygen function, and their esters; glutamic acid and its esters; salts thereof",en
"Cotton, raw, compressed bales for spinning",520100,HS 52,Textiles,"Cotton, not carded or combed",en
"Wrist-watches; whether or not incorporating a stop-watch facility, with other than automatic winding, for bonded warehouse delivery, with standard commercial invoice and packing list.",910229,HS 91,HS 91,"Wrist-watches; whether or not incorporating a stop-watch facility, with other than automatic winding",en
"Wood, tropical; teak, sawn or chipped lengthwise, sliced or peeled, planed, square dressed, structural, thicker than 6mm",440723,HS 44,HS 44,"Wood, tropical; teak, sawn or chipped lengthwise, sliced or peeled, planed, square dressed, structural, thicker than 6mm",en
"Machine-tools; for boring-milling by removing metal, numerically controlled, for industrial procurement contract, for scheduled maritime transport.",845931,HS 84,HS 84,"Machine-tools; for boring-milling by removing metal, numerically controlled",en
"Waters with added sugar or flavour - standard quality, bulk shipment, for export under standard commercial terms, for mixed-lot cargo.",220210,HS 22,Beverages,Waters with added sugar or flavour,en
"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 3000cc",870324,HS 87,Vehicles,"Motor cars, >3000cc",en
"Fibres; synthetic filament tow, of nylon or other polyamides, of aramids, for customs clearance and import declaration, for scheduled maritime transport.",550111,HS 55,HS 55,"Fibres; synthetic filament tow, of nylon or other polyamides, of aramids",en
"Dithionites and sulphoxylates; of sodium, for cross-border shipment, for scheduled maritime transport.",283110,HS 28,HS 28,Dithionites and sulphoxylates; of sodium,en
"Aldehydes; aldehyde-ethers, aldehyde-phenols and aldehydes with other oxygen function, ethylvanillin (3-ethoxy-4-hydroxybenzaldehyde)",291242,HS 29,HS 29,"Aldehydes; aldehyde-ethers, aldehyde-phenols and aldehydes with other oxygen function, ethylvanillin (3-ethoxy-4-hydroxybenzaldehyde)",en
"Export grade beans, fresh or chilled, certified",070820,HS 07,Vegetables,"Beans, fresh or chilled",en
"Vegetable preparations; asparagus, prepared or preserved otherwise than by vinegar or acetic acid, not frozen, for bonded warehouse delivery, palletized for container shipment.",200560,HS 20,HS 20,"Vegetable preparations; asparagus, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",en
"Fruit, edible; clementines, fresh or dried",080522,HS 08,HS 08,"Fruit, edible; clementines, fresh or dried",en
"Carpets and other textile floor coverings; n.e.c. in chapter 57, whether or not made up",570500,HS 57,HS 57,"Carpets and other textile floor coverings; n.e.c. in chapter 57, whether or not made up",en
"Rubber; new pneumatic tyres, of a kind used on motor cars (including station wagons and racing cars), for cross-border shipment, shipping term CIF.",401110,HS 40,Rubber,New pneumatic tyres for cars,en
"Tanned or crust skins; of sheep or lambs, without wool on, whether or not split, but not further prepared, in the dry state (crust), for international wholesale distribution, palletized for container shipment.",410530,HS 41,HS 41,"Tanned or crust skins; of sheep or lambs, without wool on, whether or not split, but not further prepared, in the dry state (crust)",en
"Hides and skins; raw, of animals n.e.c. in this chapter, fresh, salted, dried, limed, pickled or otherwise preserved, (but not tanned, parchment-dressed or further prepared), whether or not dehaired or split, for bulk procurement program, for scheduled maritime transport.",410390,HS 41,HS 41,"Hides and skins; raw, of animals n.e.c. in this chapter, fresh, salted, dried, limed, pickled or otherwise preserved, (but not tanned, parchment-dressed or further prepared), whether or not dehaired or split",en
"Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), cylinder capacity over 1500 but not over 2500cc, for cross-border shipment, packed in cartons.",870332,HS 87,Vehicles,"Diesel motor cars, 1500-2500cc",en
"Imported chemical wood pulp, bleached, customs declaration",470321,HS 47,Paper,"Chemical wood pulp, bleached",en
"Heterocyclic compounds; with oxygen hetero-atom(s) only, containing an unfused furan ring (whether or not hydrogenated) in the structure, 2-furaldehyde (furfuraldehyde)",293212,HS 29,HS 29,"Heterocyclic compounds; with oxygen hetero-atom(s) only, containing an unfused furan ring (whether or not hydrogenated) in the structure, 2-furaldehyde (furfuraldehyde)",en
Breathing appliances and gas masks; excluding protective masks having neither mechanical parts nor replaceable filters and excluding apparatus of item no. 9019.20,902000,HS 90,HS 90,Breathing appliances and gas masks; excluding protective masks having neither mechanical parts nor replaceable filters and excluding apparatus of item no. 9019.20,en
"Trade declaration: other wooden furniture, new, for bonded warehouse delivery, with standard commercial invoice and packing list.",940360,HS 94,Furniture,Other wooden furniture,en
"Export grade electrical energy, certified, for regional retail supply chain, with standard commercial invoice and packing list.",271600,HS 27,Mineral Fuels,Electrical energy,en
"Fish fillets; frozen, flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), for industrial procurement contract, shipping term CIF.",030483,HS 03,HS 03,"Fish fillets; frozen, flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",en
"Fabrics, woven; of viscose rayon, high tenacity, artificial filament yarn",540810,HS 54,HS 54,"Fabrics, woven; of viscose rayon, high tenacity, artificial filament yarn",en
Organo-sulphur compounds; thiocarbamates and dithiocarbamates,293020,HS 29,HS 29,Organo-sulphur compounds; thiocarbamates and dithiocarbamates,en
"Carbides; of calcium, whether or not chemically defined, for bonded warehouse delivery, for mixed-lot cargo.",284910,HS 28,HS 28,"Carbides; of calcium, whether or not chemically defined",en
Plastics; other articles n.e.c. in chapter 39,392690,HS 39,HS 39,Plastics; other articles n.e.c. in chapter 39,en
"Cutlery; sets of assorted articles (e.g. spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter-knives, sugar tongs and similar), with at least one article plated with precious metal",821510,HS 82,HS 82,"Cutlery; sets of assorted articles (e.g. spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter-knives, sugar tongs and similar), with at least one article plated with precious metal",en
"Bromides; of sodium or of potassium, for cross-border shipment, shipping term CIF.",282751,HS 28,HS 28,Bromides; of sodium or of potassium,en
"Jerseys, pullovers of man-made fibres, meeting international standards",611030,HS 61,Garments,"Jerseys, pullovers of man-made fibres",en
"Press-fasteners, snap-fasteners, press-studs and parts therefor, for customs clearance and import declaration, for mixed-lot cargo.",960610,HS 96,HS 96,"Press-fasteners, snap-fasteners, press-studs and parts therefor",en
Golf clubs; complete,950631,HS 95,HS 95,Golf clubs; complete,en
Alkali or alkali-earth metals; calcium,280512,HS 28,HS 28,Alkali or alkali-earth metals; calcium,en
"Animal products; hair, human, unworked, whether or not washed or scoured, and waste of human hair, for bonded warehouse delivery, packed in cartons.",050100,HS 05,HS 05,"Animal products; hair, human, unworked, whether or not washed or scoured, and waste of human hair",en
"Shipment of women's trousers of cotton, FOB terms",620462,HS 62,Garments,Women's trousers of cotton,en
"Non-halogenated organo-phosphorous derivatives; diethyl ethylphosphonate, for industrial procurement contract, for 20ft container loading.",293143,HS 29,HS 29,Non-halogenated organo-phosphorous derivatives; diethyl ethylphosphonate,en
"Fabrics, woven; of viscose rayon, high tenacity, artificial filament yarn, for customs clearance and import declaration, for scheduled maritime transport.",540810,HS 54,HS 54,"Fabrics, woven; of viscose rayon, high tenacity, artificial filament yarn",en
"Shipment of other palm oil, FOB terms",151190,HS 15,Oils,Other palm oil,en
Stone or other mineral substances not elsewhere specified or included; carbon fibres for non-electrical uses,681511,HS 68,HS 68,Stone or other mineral substances not elsewhere specified or included; carbon fibres for non-electrical uses,en
"Statuettes and other ornaments; of base metal plated with precious metal, for export under standard commercial terms, for scheduled maritime transport.",830621,HS 83,HS 83,Statuettes and other ornaments; of base metal plated with precious metal,en
Dyes; pigments and preparations based thereon,320417,HS 32,HS 32,Dyes; pigments and preparations based thereon,en
"Products n.e.c. in heading 2404, intended for the intake of nicotine into the human body, by ways other than inhalation, and other than oral or transdermal application",240499,HS 24,HS 24,"Products n.e.c. in heading 2404, intended for the intake of nicotine into the human body, by ways other than inhalation, and other than oral or transdermal application",en
"Cycles; parts thereof, hubs (other than coaster braking hubs and hub brakes) and free-wheel sprocket-wheels",871493,HS 87,HS 87,"Cycles; parts thereof, hubs (other than coaster braking hubs and hub brakes) and free-wheel sprocket-wheels",en
"Fibres; synthetic filament tow, of polypropylene",550140,HS 55,HS 55,"Fibres; synthetic filament tow, of polypropylene",en
"Tallow; other than those of heading 1503, for international wholesale distribution, with standard commercial invoice and packing list.",150210,HS 15,HS 15,Tallow; other than those of heading 1503,en
"HDPE garbage bags, black, 50L capacity",392321,HS 39,Plastics,Sacks and bags of ethylene polymers,en
"Đường trắng tinh luyện từ mía, ICUMSA 45, for customs clearance and import declaration, palletized for container shipment.",170199,HS 17,Sugar,Other cane or beet sugar,vi
